"Goodahead Core Settings","Goodahead Core Settings"
"Goodahead Toolbar Settings","Goodahead Toolbar Settings"
"Enable / Disable Toolbar","Enable / Disable Toolbar"
"Core Settings","Core Settings"
"Toolbar Settings","Toolbar Settings"
"Enable Goodahead Toolbar Cache","Enable Goodahead Toolbar Cache"
"Goodahead Core Toolbar will be enabled and visible on frontend","Goodahead Core Toolbar will be enabled and visible on frontend"
